Yuli,Shepard,Travel Writer,Travel Products,yshepard@red30tech.com,1785,,,,,,,,,,,,,,,,,,,,
Gage,Hurley,HR Assistant,Human Resources,ghurley@red30tech.com,1349,,,,,,,,,,,,,,,,,,,,
Logan,Davenport,Sales Representative,Travel Products,ldavenport@red30tech.com,1498,,,,,,,,,,,,,,,,,,,,
Devin,David,CFO,Executive Team,ddavid@red30tech.com,1634,,,,,,,,,,,,,,,,,,,,
Tatum,Hoover,Product Manager,Travel Products,thoover@red30tech.com,1416,,,,,,,,,,,,,,,,,,,,
Isabella,Bauer,Customer Service Representative,Customer Service,ibauer@red30tech.com,1291,,,,,,,,,,,,,,,,,,,,
Ella,Callahan,Product Manager,Travel Products,ecallahan@red30tech.com,1876,,,,,,,,,,,,,,,,,,,,
Dakota,Alston,Executive Assistant,Executive Team,dalston@red30tech.com,1614,,,,,,,,,,,,,,,,,,,,
Suki,Gillespie,Photographer,Marketing,sgillespie@red30tech.com,1337,,,,,,,,,,,,,,,,,,,,
Whilemina,Gutierrez,Video Editor,Marketing,wgutierrez@red30tech.com,1538,,,,,,,,,,,,,,,,,,,,
Denton,Lester,Customer Service Representative,Customer Service,dlester@red30tech.com,1723,,,,,,,,,,,,,,,,,,,,
Brock,Pace,Copy Writer,Marketing,bpace@red30tech.com,1898,,,,,,,,,,,,,,,,,,,,
Roanna,Bush,Video Editor,Marketing,rbush@red30tech.com,1465,,,,,,,,,,,,,,,,,,,,
Sierra,Obrien,Engineer,Facilities,sobrien@red30tech.com,1761,,,,,,,,,,,,,,,,,,,,
Joy,Gibbs,Copy Writer,Marketing,jgibbs@red30tech.com,1806,,,,,,,,,,,,,,,,,,,,
Basil,Pope,Server Adminstrator,Information Systems,bpope@red30tech.com,1787,,,,,,,,,,,,,,,,,,,,
Ebony,Schneider,Travel Writer,Travel Products,eschneider@red30tech.com,1376,,,,,,,,,,,,,,,,,,,,
Rahim,Hyde,Customer Service Representative,Customer Service,rhyde@red30tech.com,1549,,,,,,,,,,,,,,,,,,,,
Darrel,Pate,Customer Service Representative,Customer Service,dpate@red30tech.com,1628,,,,,,,,,,,,,,,,,,,,
Adena,Morse,Customer Service Representative,Customer Service,amorse@red30tech.com,1409,,,,,,,,,,,,,,,,,,,,
Donovan,England,Product Manager,Travel Products,dengland@red30tech.com,1327,,,,,,,,,,,,,,,,,,,,
Shay,Gaines,Product Manager,Travel Products,sgaines@red30tech.com,1786,,,,,,,,,,,,,,,,,,,,
Alexa,Moses,Copy Writer,Marketing,amoses@red30tech.com,1828,,,,,,,,,,,,,,,,,,,,
Rhonda,Hahn,Server Adminstrator,Information Systems,rhahn@red30tech.com,1600,,,,,,,,,,,,,,,,,,,,
Kiona,Hancock,Customer Service Representative,Customer Service,khancock@red30tech.com,1840,,,,,,,,,,,,,,,,,,,,
Athena,Bean,Customer Service Representative,Customer Service,abean@red30tech.com,1878,,,,,,,,,,,,,,,,,,,,
Natalie,Norris,Server Adminstrator,Information Systems,nnorris@red30tech.com,1384,,,,,,,,,,,,,,,,,,,,
Serina,Phelps,Video Editor,Marketing,sphelps@red30tech.com,1702,,,,,,,,,,,,,,,,,,,,
Erin,Atkinson,Customer Service Representative,Customer Service,eatkinson@red30tech.com,1847,,,,,,,,,,,,,,,,,,,,
Addison,Beck,Server Adminstrator,Information Systems,abeck@red30tech.com,1600,,,,,,,,,,,,,,,,,,,,
Carter,Peterson,Customer Service Representative,Customer Service,cpeterson@red30tech.com,1491,,,,,,,,,,,,,,,,,,,,
Samuel,Brooks,Video Editor,Marketing,sbrooks@red30tech.com,1571,,,,,,,,,,,,,,,,,,,,
Ursula,Ballard,Executive Assistant,Executive Team,uballard@red30tech.com,1615,,,,,,,,,,,,,,,,,,,,
Deborah,Harper,Photographer,Marketing,dharper@red30tech.com,1293,,,,,,,,,,,,,,,,,,,,
Amethyst,Ashley,Customer Service Representative,Customer Service,aashley@red30tech.com,1670,,,,,,,,,,,,,,,,,,,,
Gavin,Medina,Chief Technology Officer,Information Systems,gmedina@red30tech.com,1291,,,,,,,,,,,,,,,,,,,,
Dacey,Flynn,Server Adminstrator,Information Systems,dflynn@red30tech.com,1865,,,,,,,,,,,,,,,,,,,,
Susan,Potter,Customer Service Representative,Customer Service,spotter@red30tech.com,1813,,,,,,,,,,,,,,,,,,,,
